Datetime_hour,Gen.P48 Fotovoltaica,MD,IDA1,IDA2,Gen.P48 Eolica,Interconexiones P48,Demanda P48,Gen.P48 Total
2023-12-31 23:00:00,2.8,63.33,54.33,57.0,5520.1,525.9,21979.3,22640.6
2024-01-01 00:00:00,5.5,50.09,45.54,46.54,5528.0,229.7,21532.5,22561.3
2024-01-01 01:00:00,4.3,47.5,40.5,41.8,5155.8,-370.0,19869.1,21713.1
2024-01-01 02:00:00,2.7,43.5,38.95,34.53,4958.0,-58.1,18569.4,20250.0
2024-01-01 03:00:00,2.7,42.5,33.5,33.5,4915.2,-258.9,17979.8,20159.5
2024-01-01 04:00:00,2.8,42.09,35.99,32.09,5005.4,-279.0,18000.8,20852.2
2024-01-01 05:00:00,2.9,42.5,35.99,32.73,5084.1,-272.0,18291.7,20976.9
2024-01-01 06:00:00,4.3,42.59,36.04,36.04,5485.9,-319.0,18673.8,21156.5
2024-01-01 07:00:00,105.4,43.37,38.91,33.37,5758.2,-288.4,18419.2,20779.9
2024-01-01 08:00:00,1870.9,42.29,37.94,32.29,5700.2,-16.0,18810.2,22321.2
2024-01-01 09:00:00,5299.4,25.0,25.0,15.0,5727.4,-19.0,19931.7,24528.2
2024-01-01 10:00:00,8156.0,3.9,0.0,3.32,5956.1,-1023.2,21035.3,27115.0
2024-01-01 11:00:00,9779.4,3.2,3.2,3.2,6531.5,-2728.2,21345.6,29290.2
2024-01-01 12:00:00,10135.0,2.06,2.06,2.25,5644.6,-2932.7,21076.0,28880.7
2024-01-01 13:00:00,9884.7,1.73,1.73,1.73,6779.3,-3891.0,21356.3,29844.3
2024-01-01 14:00:00,9571.4,5.72,5.72,8.0,7709.0,-5504.6,20664.4,30711.1
2024-01-01 15:00:00,6411.8,18.49,18.49,18.49,7399.1,-3160.1,20580.4,27485.6
2024-01-01 16:00:00,2000.2,37.0,40.0,37.0,7926.0,-654.7,22375.5,25532.0
2024-01-01 17:00:00,77.5,47.5,49.5,48.5,8795.3,505.5,24763.1,25650.5
2024-01-01 18:00:00,22.2,54.97,53.98,53.0,8909.9,76.9,26221.7,26454.8
2024-01-01 19:00:00,13.6,60.9,60.9,56.25,9066.2,736.9,27169.5,26448.6
2024-01-01 20:00:00,7.7,60.0,60.0,55.35,9243.2,972.7,27416.3,26778.6
2024-01-01 21:00:00,13.8,47.5,47.51,47.52,9483.8,1038.8,25794.1,25709.2
2024-01-01 22:00:00,7.1,42.09,42.09,43.39,9541.6,-79.0,23330.2,24741.6
2024-01-01 23:00:00,2.3,37.8,37.01,37.96,9800.6,-119.0,21201.8,23961.3
