Datetime_hour,Gen T.Real Hidraulica,Gen T.Real Nuclear,Gen T.Real Eólica,MD,IDA1,IDA2,Demanda Real,Gen T.Real Fotovoltaica,Gen P48 Total
2024-01-01 00:00:00,3746.6,7095.8,5525.8,63.33,54.33,57.0,21863.4,29.0,22640.6
2024-01-01 01:00:00,3298.7,7096.2,5660.4,50.09,45.54,46.54,21200.7,29.0,22561.3
2024-01-01 02:00:00,2797.0,7097.4,5482.1,47.5,40.5,41.8,20033.1,29.0,21713.1
2024-01-01 03:00:00,1720.2,7097.7,5220.9,43.5,38.95,34.53,18867.7,29.0,20250.0
2024-01-01 04:00:00,881.3,7096.4,5216.5,42.5,33.5,33.5,18137.2,29.0,20159.5
2024-01-01 05:00:00,601.2,7093.8,5188.7,42.09,35.99,32.09,17881.2,29.0,20852.2
2024-01-01 06:00:00,792.4,7093.1,5247.3,42.5,35.99,32.73,18059.2,28.9,20976.9
2024-01-01 07:00:00,1066.0,7092.9,5423.6,42.59,36.04,36.04,18429.3,28.0,21156.5
2024-01-01 08:00:00,636.5,7093.4,5663.8,43.37,38.91,33.37,18439.3,47.3,20779.9
2024-01-01 09:00:00,-494.5,7093.3,5868.2,42.29,37.94,32.29,18739.5,1085.4,22321.2
2024-01-01 10:00:00,-1500.4,7093.8,5771.1,25.0,25.0,15.0,19864.8,4182.2,24528.2
2024-01-01 11:00:00,-2074.6,7094.8,5672.2,3.9,0.0,3.32,21004.6,7367.0,27115.0
2024-01-01 12:00:00,-2357.3,7094.2,6502.3,3.2,3.2,3.2,21181.8,9137.4,29290.2
2024-01-01 13:00:00,-2547.4,7093.9,6297.6,2.06,2.06,2.25,21358.8,9797.0,28880.7
2024-01-01 14:00:00,-2318.2,7093.4,6871.8,1.73,1.73,1.73,21436.7,10125.6,29844.3
2024-01-01 15:00:00,-2202.1,7092.7,7252.9,5.72,5.72,8.0,20749.2,10315.7,30711.1
2024-01-01 16:00:00,-1960.6,7092.6,7439.7,18.49,18.49,18.49,20887.3,6982.3,27485.6
2024-01-01 17:00:00,1511.2,7093.0,7311.6,37.0,40.0,37.0,22228.8,1856.6,25532.0
2024-01-01 18:00:00,4640.7,7091.0,8249.4,47.5,49.5,48.5,24787.9,62.2,25650.5
2024-01-01 19:00:00,5995.3,7091.7,9032.7,54.97,53.98,53.0,26178.9,32.2,26454.8
2024-01-01 20:00:00,6476.9,7091.9,9147.4,60.9,60.9,56.25,27187.3,31.2,26448.6
2024-01-01 21:00:00,6722.5,7090.1,8816.2,60.0,60.0,55.35,27455.1,31.0,26778.6
2024-01-01 22:00:00,5456.2,7091.5,8740.9,47.5,47.51,47.52,25878.8,30.9,25709.2
2024-01-01 23:00:00,3293.8,7092.8,9163.8,42.09,42.09,43.39,23516.4,30.1,24741.6
2024-01-02 00:00:00,619.2,7094.2,9665.1,37.8,37.01,37.96,21444.4,30.0,23961.3
2024-01-02 01:00:00,-1406.2,7090.6,9793.2,25.0,10.0,13.0,19714.2,30.0,23083.9
2024-01-02 02:00:00,-2261.0,7089.2,9697.0,3.99,0.06,0.0,18741.7,30.0,22990.9
2024-01-02 03:00:00,-2417.4,7089.5,9779.8,14.0,0.02,0.0,18329.4,30.0,22875.0
2024-01-02 04:00:00,-2418.6,7088.9,9289.1,10.0,0.0,0.0,18326.2,30.0,22095.1
2024-01-02 05:00:00,-2311.0,7086.7,9438.9,14.54,0.09,0.2,19013.2,30.0,22722.8
2024-01-02 06:00:00,-1625.6,7089.8,10321.8,36.29,33.99,36.45,21676.2,30.0,24176.9
2024-01-02 07:00:00,1541.9,7086.3,10956.7,44.7,40.21,44.7,25308.8,30.0,25883.3
2024-01-02 08:00:00,3426.2,7084.5,11423.8,53.78,49.01,51.95,28070.3,118.1,26696.8
2024-01-02 09:00:00,4633.7,7089.0,11503.2,54.23,52.23,54.23,29815.0,1866.6,29377.2
2024-01-02 10:00:00,3731.4,7092.5,11636.9,50.0,50.0,51.5,30574.2,5366.1,31413.4
2024-01-02 11:00:00,3325.0,7094.7,11804.9,52.2,50.0,50.37,30354.9,6717.5,33318.0
2024-01-02 12:00:00,2831.4,7089.6,12416.2,45.0,41.6,43.0,30383.9,6968.5,34614.8
2024-01-02 13:00:00,2412.8,7089.0,13235.5,43.0,39.99,43.0,30866.1,6790.4,35931.3
2024-01-02 14:00:00,2482.5,7090.8,14117.2,43.0,39.99,43.0,30977.0,6640.2,36465.6
2024-01-02 15:00:00,2124.4,7089.0,14528.0,40.99,36.0,40.02,30559.1,6219.0,35886.9
2024-01-02 16:00:00,2956.2,7088.0,14334.8,43.66,39.99,42.08,30437.1,3967.7,34943.0
2024-01-02 17:00:00,4896.8,7088.2,14683.9,52.2,43.0,46.0,31033.0,1161.9,34630.2
2024-01-02 18:00:00,6105.8,7090.8,15549.5,57.77,47.8,52.97,32441.2,36.8,34602.5
2024-01-02 19:00:00,6033.2,7091.2,15871.3,62.45,55.95,59.0,32815.4,9.8,33929.4
2024-01-02 20:00:00,5433.5,7090.9,16094.2,58.0,48.01,57.06,33395.4,9.0,33357.8
2024-01-02 21:00:00,5683.1,7090.3,16137.2,52.83,46.3,49.88,32888.2,9.0,33361.3
2024-01-02 22:00:00,3453.1,7091.4,15948.2,46.26,40.66,42.43,30019.2,9.0,31226.0
2024-01-02 23:00:00,922.0,6652.7,14088.2,40.1,33.99,33.1,26954.2,8.9,28806.1
2024-01-03 00:00:00,-808.9,7090.8,14748.5,6.8,8.35,18.79,24783.3,9.0,28251.0
2024-01-03 01:00:00,-1871.8,7091.2,14474.2,3.2,3.2,6.44,22885.1,8.2,27296.5
2024-01-03 02:00:00,-2211.7,7092.7,14149.9,3.2,3.2,3.2,21645.8,8.0,27085.6
2024-01-03 03:00:00,-2531.9,7089.6,13854.8,3.2,3.2,3.2,21093.8,8.0,26314.0
2024-01-03 04:00:00,-2383.6,7085.5,13685.6,3.2,3.2,3.2,20938.2,8.0,26229.6
2024-01-03 05:00:00,-2303.0,7083.6,13481.8,2.21,3.2,3.2,21512.5,8.0,26106.8
2024-01-03 06:00:00,-1327.7,7080.8,13588.6,4.78,6.33,19.77,23729.2,6.8,26725.8
2024-01-03 07:00:00,1487.9,7080.9,13558.2,45.42,45.42,55.42,26788.6,6.0,28004.8
2024-01-03 08:00:00,3823.7,7082.7,13442.2,61.92,67.02,72.02,29448.4,54.8,28593.2
2024-01-03 09:00:00,4976.1,7073.4,13178.8,67.0,73.5,78.39,31009.1,1124.5,30866.0
