Datetime_hour,MD,Demanda,Gen.Eolica,Gen.Fotovoltaica,MD_lag_24,MD_lag_48,MD_lag_1week,IDA1_lag_24,IDA2_lag_24,Hour,Month,Day_of_week,FTB,FTS,Precio_Gas,Precio_CO2_lag48
2024-02-03 00:00:00,56.44,25367.3,6204.3,0.0,62.95,69.0,64.97,69.25,71.51,0,2,5,61.450,52.580,29.24,60.18
2024-02-03 01:00:00,52.71,23677.3,5596.0,0.0,60.05,60.44,61.06,63.05,59.9,1,2,5,61.450,52.580,29.24,60.18
2024-02-03 02:00:00,51.18,22408.5,5060.5,0.0,58.0,55.1,59.05,62.19,60.0,2,2,5,61.450,52.580,29.24,60.18
2024-02-03 03:00:00,50.83,21695.8,4637.3,0.0,54.69,54.6,55.9,60.99,59.69,3,2,5,61.450,52.580,29.24,60.18
2024-02-03 04:00:00,51.16,21351.0,4365.0,0.0,52.41,53.47,55.9,60.99,57.41,4,2,5,61.450,52.580,29.24,60.18
2024-02-03 05:00:00,52.57,21414.0,4155.0,0.0,55.0,59.82,57.22,61.04,57.5,5,2,5,61.450,52.580,29.24,60.18
2024-02-03 06:00:00,53.5,22334.0,4020.3,0.0,61.0,72.42,59.36,65.14,61.99,6,2,5,61.450,52.580,29.24,60.18
2024-02-03 07:00:00,56.8,23993.0,3858.3,0.0,80.34,88.76,66.19,84.59,80.19,7,2,5,61.450,52.580,29.24,60.18
2024-02-03 08:00:00,63.0,25368.8,3700.3,548.1,90.75,95.76,78.09,91.75,93.64,8,2,5,61.450,52.580,29.24,60.18
2024-02-03 09:00:00,59.1,27093.8,3502.8,5011.4,83.98,88.77,73.4,83.83,83.21,9,2,5,61.450,52.580,29.24,60.18
2024-02-03 10:00:00,53.28,27770.0,3146.8,10474.4,61.42,62.8,62.01,61.42,60.99,10,2,5,61.450,52.580,29.24,60.18
2024-02-03 11:00:00,45.27,27206.5,2897.5,12316.2,54.0,55.98,54.4,54.0,56.0,11,2,5,61.450,52.580,29.24,60.18
2024-02-03 12:00:00,41.58,26413.5,2729.5,12787.2,54.0,54.44,47.0,56.0,59.4,12,2,5,61.450,52.580,29.24,60.18
2024-02-03 13:00:00,39.81,26393.8,2573.5,12948.2,55.5,54.0,47.7,57.0,62.49,13,2,5,61.450,52.580,29.24,60.18
2024-02-03 14:00:00,41.76,26173.8,2422.5,12909.4,53.3,54.44,47.5,56.0,62.49,14,2,5,61.450,52.580,29.24,60.18
2024-02-03 15:00:00,46.44,25534.8,2265.8,12561.9,55.91,54.6,47.0,55.91,62.49,15,2,5,61.450,52.580,29.24,60.18
