,n_capas,n_neurons,dropout,lr,patience,batch_size,RESULTADO,n_epochs
0,2,32,0.1,0.0001,8,32,15.775491846044858,68
1,2,32,0.1,0.0001,8,32,14.188412047693298,52
2,2,32,0.1,0.0001,8,32,12.69744468048238,49
3,2,32,0.1,0.0001,8,64,18.589595713350505,102
4,2,32,0.1,0.0001,8,64,13.693700078023182,83
5,2,32,0.1,0.0001,8,64,12.722510321709844,40
6,2,32,0.1,0.0001,16,32,17.145250620471106,119
7,2,32,0.1,0.0001,16,32,16.16694862212481,70
8,2,32,0.1,0.0001,16,32,12.97993687653024,58
9,2,32,0.1,0.0001,16,64,20.850961542924242,150
10,2,32,0.1,0.0001,16,64,12.49534119653619,88
11,2,32,0.1,0.0001,16,64,12.619800225917869,89
12,2,32,0.1,0.0005,8,32,19.857730725347995,45
13,2,32,0.1,0.0005,8,32,15.008096379545206,22
14,2,32,0.1,0.0005,8,32,13.554006132708656,34
15,2,32,0.1,0.0005,8,64,14.939939090318148,71
16,2,32,0.1,0.0005,8,64,16.421215760755143,22
17,2,32,0.1,0.0005,8,64,13.377066307075943,32
18,2,32,0.1,0.0005,16,32,15.912616333670085,68
19,2,32,0.1,0.0005,16,32,15.391822569276723,39
20,2,32,0.1,0.0005,16,32,13.332087081519886,26
21,2,32,0.1,0.0005,16,64,14.851013843125768,59
22,2,32,0.1,0.0005,16,64,15.608737551618782,46
23,2,32,0.1,0.0005,16,64,15.310783537109693,46
24,2,32,0.1,0.001,8,32,15.675970798659371,21
25,2,32,0.1,0.001,8,32,15.006781428395357,31
26,2,32,0.1,0.001,8,32,14.453396616938626,16
27,2,32,0.1,0.001,8,64,16.853328327761755,43
28,2,32,0.1,0.001,8,64,14.305507623311547,18
29,2,32,0.1,0.001,8,64,12.819491599175665,26
30,2,32,0.1,0.001,16,32,14.167901884837283,35
31,2,32,0.1,0.001,16,32,13.385511726113656,29
32,2,32,0.1,0.001,16,32,14.731761511029909,28
33,2,32,0.1,0.001,16,64,15.796426814638906,60
34,2,32,0.1,0.001,16,64,13.582928486440592,27
35,2,32,0.1,0.001,16,64,14.777824746611632,41
36,2,32,0.25,0.0001,8,32,12.710292352785668,75
37,2,32,0.25,0.0001,8,32,12.263740166786024,47
38,2,32,0.25,0.0001,8,32,13.470383053686884,65
39,2,32,0.25,0.0001,8,64,14.199563730905455,150
40,2,32,0.25,0.0001,8,64,13.013026883674248,82
41,2,32,0.25,0.0001,8,64,12.87956454645263,76
42,2,32,0.25,0.0001,16,32,13.397178247501452,150
43,2,32,0.25,0.0001,16,32,13.393161276302921,68
44,2,32,0.25,0.0001,16,32,13.913028210007713,84
45,2,32,0.25,0.0001,16,64,11.971378586355184,116
46,2,32,0.25,0.0001,16,64,12.872268206579093,76
47,2,32,0.25,0.0001,16,64,13.691268428550828,77
48,2,32,0.25,0.0005,8,32,16.19567631371888,30
49,2,32,0.25,0.0005,8,32,13.079190847937639,21
50,2,32,0.25,0.0005,8,32,12.79711613184876,24
51,2,32,0.25,0.0005,8,64,15.467641983556794,76
52,2,32,0.25,0.0005,8,64,15.465949993716347,55
53,2,32,0.25,0.0005,8,64,13.141757094626184,42
54,2,32,0.25,0.0005,16,32,15.849141303028109,49
55,2,32,0.25,0.0005,16,32,14.998488108641677,42
56,2,32,0.25,0.0005,16,32,13.080883746812328,35
57,2,32,0.25,0.0005,16,64,17.829346220329118,117
58,2,32,0.25,0.0005,16,64,13.744011103468635,57
59,2,32,0.25,0.0005,16,64,13.0494701791055,37
60,2,32,0.25,0.001,8,32,15.930859777553936,44
61,2,32,0.25,0.001,8,32,13.00123547271732,20
62,2,32,0.25,0.001,8,32,12.872901526904355,23
63,2,32,0.25,0.001,8,64,14.642071545498238,24
64,2,32,0.25,0.001,8,64,13.590402467851009,21
65,2,32,0.25,0.001,8,64,12.485492591821394,21
66,2,32,0.25,0.001,16,32,15.004137130733994,34
67,2,32,0.25,0.001,16,32,14.687509107195977,36
68,2,32,0.25,0.001,16,32,12.932733189874224,28
69,2,32,0.25,0.001,16,64,15.227114625838793,81
70,2,32,0.25,0.001,16,64,14.62735892695274,35
71,2,32,0.25,0.001,16,64,12.65907919855395,31
72,2,32,0.4,0.0001,8,32,15.096825265844664,105
73,2,32,0.4,0.0001,8,32,12.863831382426744,70
74,2,32,0.4,0.0001,8,32,12.371539501820795,45
75,2,32,0.4,0.0001,8,64,16.416567391213444,142
76,2,32,0.4,0.0001,8,64,14.41521479705576,114
77,2,32,0.4,0.0001,8,64,13.144447863361696,106
78,2,32,0.4,0.0001,16,32,16.03338136911465,142
79,2,32,0.4,0.0001,16,32,13.982120892153226,112
80,2,32,0.4,0.0001,16,32,13.163340031067529,103
81,2,32,0.4,0.0001,16,64,15.198510800505955,150
82,2,32,0.4,0.0001,16,64,13.336527196970252,104
83,2,32,0.4,0.0001,16,64,13.217190927950666,126
84,2,32,0.4,0.0005,8,32,13.742612188383005,66
85,2,32,0.4,0.0005,8,32,13.885564427933277,39
86,2,32,0.4,0.0005,8,32,13.16356376229392,30
87,2,32,0.4,0.0005,8,64,14.84169328631626,77
88,2,32,0.4,0.0005,8,64,14.120503906736152,49
89,2,32,0.4,0.0005,8,64,13.861038872617618,52
90,2,32,0.4,0.0005,16,32,15.6695259230468,81
91,2,32,0.4,0.0005,16,32,14.86514718770567,54
92,2,32,0.4,0.0005,16,32,13.53321886065271,38
93,2,32,0.4,0.0005,16,64,16.210189869752984,96
94,2,32,0.4,0.0005,16,64,15.726478339803636,69
95,2,32,0.4,0.0005,16,64,13.11357826821299,43
96,2,32,0.4,0.001,8,32,14.077707304139931,56
97,2,32,0.4,0.001,8,32,14.636656889398893,34
98,2,32,0.4,0.001,8,32,12.80423787621657,21
99,2,32,0.4,0.001,8,64,14.004753477464844,36
100,2,32,0.4,0.001,8,64,14.63109066265594,24
101,2,32,0.4,0.001,8,64,13.596925069009703,26
102,2,32,0.4,0.001,16,32,13.217520780662696,35
103,2,32,0.4,0.001,16,32,14.424037567829092,36
104,2,32,0.4,0.001,16,32,13.03841457121902,32
105,2,32,0.4,0.001,16,64,14.754568571908607,75
106,2,32,0.4,0.001,16,64,14.664291119871042,48
107,2,32,0.4,0.001,16,64,13.124502541679684,42
108,2,64,0.1,0.0001,8,32,14.204200852546428,75
109,2,64,0.1,0.0001,8,32,14.040127966712124,47
110,2,64,0.1,0.0001,8,32,15.85736430021127,42
111,2,64,0.1,0.0001,8,64,19.778069347467685,40
112,2,64,0.1,0.0001,8,64,15.051001449359168,59
113,2,64,0.1,0.0001,8,64,13.711428892805968,36
114,2,64,0.1,0.0001,16,32,15.337306238506784,87
115,2,64,0.1,0.0001,16,32,16.225137681130942,63
116,2,64,0.1,0.0001,16,32,13.534209634351853,38
117,2,64,0.1,0.0001,16,64,18.84151251466738,86
118,2,64,0.1,0.0001,16,64,15.393893899207313,86
119,2,64,0.1,0.0001,16,64,12.995381239665878,54
120,2,64,0.1,0.0005,8,32,15.868510809136762,39
121,2,64,0.1,0.0005,8,32,15.65990387736261,21
122,2,64,0.1,0.0005,8,32,13.163626133569208,15
123,2,64,0.1,0.0005,8,64,18.424723156634304,25
124,2,64,0.1,0.0005,8,64,16.575374371239707,25
125,2,64,0.1,0.0005,8,64,14.024838481880533,22
126,2,64,0.1,0.0005,16,32,14.546611798548035,40
127,2,64,0.1,0.0005,16,32,14.893949844675689,35
128,2,64,0.1,0.0005,16,32,13.558152380386986,23
129,2,64,0.1,0.0005,16,64,14.937717794562817,60
130,2,64,0.1,0.0005,16,64,16.213188881059487,27
131,2,64,0.1,0.0005,16,64,13.58037687587738,29
132,2,64,0.1,0.001,8,32,16.327512783365115,33
133,2,64,0.1,0.001,8,32,14.424368094730708,13
